window,std_multiplier,position_size_pct,stop_loss_pct,take_profit_pct,max_holding_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
30,2.0,0.05,0.015,0.025,60,0.2662224609375,2.729353149957202,1.0,0.5,85,2.229353149957202
30,1.8,0.05,0.015,0.025,90,0.2662224609375,2.729353149957202,1.0,0.5,85,2.229353149957202
30,2.0,0.05,0.015,0.025,90,0.2662224609375,2.729353149957202,1.0,0.5,85,2.229353149957202
20,2.0,0.07,0.02,0.025,60,0.190721875,2.0941329536353765,1.0,0.5209424083769634,91,1.5941329536353765
20,1.8,0.05,0.02,0.025,30,0.190721875,2.0941329536353765,1.0,0.5209424083769634,91,1.5941329536353765
20,2.0,0.07,0.02,0.025,90,0.190721875,2.0941329536353765,1.0,0.5209424083769634,91,1.5941329536353765
20,1.8,0.05,0.02,0.025,60,0.190721875,2.0941329536353765,1.0,0.5209424083769634,91,1.5941329536353765
20,1.8,0.03,0.02,0.025,60,0.190721875,2.0941329536353765,1.0,0.5209424083769634,91,1.5941329536353765
10,1.8,0.07,0.015,0.025,30,-1.7103791015625,1.1453561450520846,1.0,0.5197044334975369,91,0.6453561450520846
10,2.2,0.07,0.015,0.025,30,-1.7103791015625,1.1453561450520846,1.0,0.5197044334975369,91,0.6453561450520846
10,2.0,0.07,0.015,0.025,90,-1.7103791015625,1.1453561450520846,1.0,0.5197044334975369,91,0.6453561450520846
10,2.2,0.03,0.015,0.025,90,-1.7103791015625,1.1453561450520846,1.0,0.5197044334975369,91,0.6453561450520846
10,2.2,0.07,0.015,0.025,90,-1.7103791015625,1.1453561450520846,1.0,0.5197044334975369,91,0.6453561450520846
30,1.8,0.05,0.02,0.03,90,0.6244080078125,0.6275264529209217,1.0,0.5065274151436031,98,0.12752645292092168
30,2.0,0.03,0.02,0.03,30,0.6244080078125,0.6275264529209217,1.0,0.5065274151436031,98,0.12752645292092168
20,2.2,0.03,0.015,0.025,90,-0.35676953125,-0.28232530755635266,1.0,0.5116279069767442,87,-0.7823253075563527
20,2.0,0.03,0.015,0.025,30,-0.35676953125,-0.28232530755635266,1.0,0.5116279069767442,87,-0.7823253075563527
20,1.8,0.03,0.015,0.025,60,-0.35676953125,-0.28232530755635266,1.0,0.5116279069767442,87,-0.7823253075563527
30,2.0,0.03,0.015,0.03,60,0.4907662109375,-0.6118049674138399,1.0,0.49489795918367346,89,-1.11180496741384
30,1.8,0.07,0.015,0.03,60,0.4907662109375,-0.6118049674138399,1.0,0.49489795918367346,89,-1.11180496741384
20,1.8,0.07,0.015,0.03,60,0.3317482421875,-0.7532182370457292,1.0,0.5065616797900262,93,-1.2532182370457292
20,2.2,0.07,0.015,0.03,30,0.3317482421875,-0.7532182370457292,1.0,0.5065616797900262,93,-1.2532182370457292
20,1.8,0.05,0.015,0.03,90,0.3317482421875,-0.7532182370457292,1.0,0.5065616797900262,93,-1.2532182370457292
20,2.2,0.07,0.015,0.03,90,0.3317482421875,-0.7532182370457292,1.0,0.5065616797900262,93,-1.2532182370457292
20,2.0,0.07,0.015,0.03,60,0.3317482421875,-0.7532182370457292,1.0,0.5065616797900262,93,-1.2532182370457292
20,2.2,0.03,0.015,0.03,60,0.3317482421875,-0.7532182370457292,1.0,0.5065616797900262,93,-1.2532182370457292
10,2.2,0.03,0.02,0.025,90,-0.657304296875,-1.8012683346265803,1.0,0.5348258706467661,98,-2.30126833462658
10,2.2,0.03,0.02,0.025,90,-0.657304296875,-1.8012683346265803,1.0,0.5348258706467661,98,-2.30126833462658
10,2.2,0.03,0.02,0.025,90,-0.657304296875,-1.8012683346265803,1.0,0.5348258706467661,98,-2.30126833462658
10,2.0,0.05,0.02,0.025,30,-0.657304296875,-1.8012683346265803,1.0,0.5348258706467661,98,-2.30126833462658
20,2.2,0.03,0.02,0.03,30,0.9925923828125,-1.9341817361351177,1.0,0.5146666666666667,97,-2.434181736135118
20,1.8,0.07,0.02,0.03,90,0.9925923828125,-1.9341817361351177,1.0,0.5146666666666667,97,-2.434181736135118
20,1.8,0.03,0.02,0.03,60,0.9925923828125,-1.9341817361351177,1.0,0.5146666666666667,97,-2.434181736135118
20,2.0,0.07,0.02,0.03,30,0.9925923828125,-1.9341817361351177,1.0,0.5146666666666667,97,-2.434181736135118
10,2.2,0.07,0.015,0.03,90,-1.881946484375,-1.9660252864892438,1.0,0.5074626865671642,99,-2.466025286489244
10,2.0,0.03,0.015,0.03,30,-1.881946484375,-1.9660252864892438,1.0,0.5074626865671642,99,-2.466025286489244
10,2.2,0.07,0.015,0.03,60,-1.881946484375,-1.9660252864892438,1.0,0.5074626865671642,99,-2.466025286489244
10,1.8,0.03,0.015,0.03,30,-1.881946484375,-1.9660252864892438,1.0,0.5074626865671642,99,-2.466025286489244
10,2.0,0.07,0.015,0.03,30,-1.881946484375,-1.9660252864892438,1.0,0.5074626865671642,99,-2.466025286489244
10,1.8,0.05,0.015,0.03,90,-1.881946484375,-1.9660252864892438,1.0,0.5074626865671642,99,-2.466025286489244
30,2.0,0.07,0.02,0.025,60,0.3791826171875,-2.056258347255152,1.0,0.5128865979381443,93,-2.556258347255152
30,1.8,0.03,0.02,0.025,60,0.3791826171875,-2.056258347255152,1.0,0.5128865979381443,93,-2.556258347255152
30,2.0,0.07,0.02,0.025,60,0.3791826171875,-2.056258347255152,1.0,0.5128865979381443,93,-2.556258347255152
30,2.2,0.07,0.02,0.025,90,0.3791826171875,-2.056258347255152,1.0,0.5128865979381443,93,-2.556258347255152
30,1.8,0.05,0.02,0.025,60,0.3791826171875,-2.056258347255152,1.0,0.5128865979381443,93,-2.556258347255152
10,1.8,0.05,0.02,0.03,30,-0.6757177734375,-2.5783474300754117,1.0,0.5226130653266332,106,-3.0783474300754117
10,2.2,0.07,0.02,0.03,60,-0.6757177734375,-2.5783474300754117,1.0,0.5226130653266332,106,-3.0783474300754117
10,1.8,0.03,0.02,0.03,30,-0.6757177734375,-2.5783474300754117,1.0,0.5226130653266332,106,-3.0783474300754117
10,1.8,0.03,0.02,0.03,30,-0.6757177734375,-2.5783474300754117,1.0,0.5226130653266332,106,-3.0783474300754117
10,1.8,0.03,0.02,0.03,30,-0.6757177734375,-2.5783474300754117,1.0,0.5226130653266332,106,-3.0783474300754117
