fast_window,slow_window,volume_threshold,position_size_pct,stop_loss_pct,take_profit_pct,max_holding_period,total_return,sharpe_ratio,max_drawdown,win_rate,total_trades,score
5,10,1.2,0.03,0.025,0.035,90,1.5530600000000079,1.7984645463898985,0.18075562014574148,0.45434298440979953,414,1.7080867363170278
5,10,1.2,0.07,0.02,0.035,30,1.1647910000000068,1.2517024622448611,0.33990044386938684,0.4187380497131931,483,1.0817522403101678
3,30,1.5,0.05,0.015,0.025,30,0.8054600000000021,1.149179969142351,0.3326292216304894,0.416015625,426,0.9828653583271063
5,10,1.5,0.03,0.02,0.025,60,0.702710999999979,1.008154082253265,0.2847258027924998,0.4692622950819672,435,0.8657911808570151
5,30,1.5,0.03,0.02,0.025,30,0.7201159999999923,1.0175309663309982,0.3333435779646791,0.4535637149028078,412,0.8508591773486586
3,10,1.2,0.03,0.02,0.035,30,0.8857280000000035,0.9780036831380533,0.4704347030351257,0.4014732965009208,499,0.7427863316204905
3,30,1.2,0.03,0.015,0.025,90,0.5310449999999822,0.8417588558756832,0.23723100438437614,0.4,519,0.7231433536834951
3,10,1.5,0.07,0.02,0.05,60,0.5572849999999824,0.7924058490128633,0.3419544989188254,0.34146341463414637,342,0.6214285995534505
5,10,1.2,0.03,0.02,0.05,90,0.8021519999999975,0.9049778316178925,0.5726478944352469,0.3421686746987952,379,0.618653884400269
5,30,1.5,0.05,0.015,0.025,60,0.5192749999999905,0.832121483804551,0.4556616652425562,0.4110429447852761,406,0.6042906511832729
3,20,1.2,0.05,0.015,0.05,30,0.5578949999999997,0.7885112045753149,0.39127904972071137,0.30739299610894943,463,0.5928716797149591
5,30,1.5,0.07,0.015,0.05,30,0.5230560000000034,0.7867081805006017,0.45505497578289683,0.3153846153846154,344,0.5591806926091533
3,30,1.5,0.07,0.015,0.035,30,0.5270660000000018,0.8184928536811992,0.5285305725525498,0.35570469798657717,391,0.5542275674049243
3,10,1.2,0.07,0.02,0.025,30,0.49351600000000617,0.7406835845548039,0.429799193915942,0.43914473684210525,540,0.5257839875968329
3,20,2.0,0.07,0.015,0.05,30,0.3661639999999941,0.6735927462757056,0.38280153853132853,0.3146417445482866,286,0.48219197701004135
3,30,1.5,0.07,0.015,0.035,90,0.4616100000000093,0.7518440516974556,0.5517918476413199,0.3480278422273782,374,0.47594812787679563
5,20,2.0,0.07,0.015,0.035,90,0.29569299999999493,0.608413193933724,0.31603307128569275,0.3425076452599388,285,0.4503966582908776
3,30,2.0,0.05,0.015,0.025,60,0.30963000000000246,0.6366769434065976,0.3887114129419249,0.4123989218328841,305,0.4423212369356352
3,20,1.2,0.05,0.015,0.035,60,0.3559559999999932,0.648348731114229,0.43677697808547183,0.3290676416819013,479,0.4299602420714931
3,10,1.2,0.03,0.025,0.05,30,0.053633000000021275,0.841069726790018,0.8647713057250002,0.3914027149321267,418,0.40868407392751793
3,30,1.2,0.05,0.02,0.035,60,0.35021000000000274,0.640234942651263,0.46861162421624775,0.38054968287526425,436,0.40592913054313917
3,10,1.2,0.05,0.025,0.025,30,0.25226800000001237,0.5719957670405268,0.3473828767274018,0.47160068846815834,522,0.39830432867682586
